,Al110,C1674,ST8,T2,Z613,Val2,Waph11,Rf45,Al4,Gth1,Mar216,Mar19,SR,BS5,Oku11,Noumea,Hawai,California,Guyane,Mada196,Se1
Al110,,,,,,,,,,,,,,,,,,,,,
C1674,1758.0000000000,,,,,,,,,,,,,,,,,,,,
ST8,1738.0000000000,186.0000000000,,,,,,,,,,,,,,,,,,,
T2,210.0000000000,1722.0000000000,1702.0000000000,,,,,,,,,,,,,,,,,,
Z613,201.0000000000,1716.0000000000,1693.0000000000,167.0000000000,,,,,,,,,,,,,,,,,
Val2,1735.0000000000,186.0000000000,0.0000000000,1700.0000000000,1692.0000000000,,,,,,,,,,,,,,,,
Waph11,1765.0000000000,217.0000000000,171.0000000000,1726.0000000000,1716.0000000000,169.0000000000,,,,,,,,,,,,,,,
Rf45,2140.0000000000,2309.0000000000,2302.0000000000,2107.0000000000,2098.0000000000,2294.0000000000,2339.0000000000,,,,,,,,,,,,,,
Al4,1776.0000000000,233.0000000000,186.0000000000,1739.0000000000,1731.0000000000,185.0000000000,173.0000000000,2341.0000000000,,,,,,,,,,,,,
Gth1,2447.0000000000,2615.0000000000,2613.0000000000,2417.0000000000,2405.0000000000,2611.0000000000,2648.0000000000,1386.0000000000,2656.0000000000,,,,,,,,,,,,
Mar216,186.0000000000,1698.0000000000,1678.0000000000,187.0000000000,175.0000000000,1672.0000000000,1698.0000000000,2047.0000000000,1710.0000000000,2348.0000000000,,,,,,,,,,,
Mar19,1796.0000000000,247.0000000000,199.0000000000,1757.0000000000,1748.0000000000,198.0000000000,188.0000000000,2365.0000000000,192.0000000000,2676.0000000000,1728.0000000000,,,,,,,,,,
SR,3129.0000000000,3299.0000000000,3306.0000000000,3095.0000000000,3098.0000000000,3305.0000000000,3341.0000000000,3035.0000000000,3336.0000000000,3323.0000000000,3001.0000000000,3365.0000000000,,,,,,,,,
BS5,2408.0000000000,2577.0000000000,2583.0000000000,2378.0000000000,2370.0000000000,2579.0000000000,2625.0000000000,1385.0000000000,2623.0000000000,438.0000000000,2308.0000000000,2644.0000000000,3253.0000000000,,,,,,,,
Oku11,178.0000000000,1712.0000000000,1692.0000000000,187.0000000000,176.0000000000,1688.0000000000,1719.0000000000,2072.0000000000,1728.0000000000,2374.0000000000,166.0000000000,1750.0000000000,3051.0000000000,2345.0000000000,,,,,,,
Noumea,3161.0000000000,3347.0000000000,3350.0000000000,3130.0000000000,3126.0000000000,3353.0000000000,3388.0000000000,3066.0000000000,3382.0000000000,3345.0000000000,3031.0000000000,3413.0000000000,317.0000000000,3284.0000000000,3079.0000000000,,,,,,
Hawai,2346.0000000000,2523.0000000000,2523.0000000000,2321.0000000000,2314.0000000000,2517.0000000000,2561.0000000000,1332.0000000000,2563.0000000000,395.0000000000,2242.0000000000,2581.0000000000,3187.0000000000,205.0000000000,2284.0000000000,3221.0000000000,,,,,
California,1719.0000000000,188.0000000000,1.0000000000,1680.0000000000,1673.0000000000,1.0000000000,171.0000000000,2284.0000000000,187.0000000000,2585.0000000000,1657.0000000000,199.0000000000,3268.0000000000,2553.0000000000,1678.0000000000,3315.0000000000,2495.0000000000,,,,
Guyane,1809.0000000000,262.0000000000,199.0000000000,1772.0000000000,1766.0000000000,197.0000000000,246.0000000000,2375.0000000000,261.0000000000,2689.0000000000,1743.0000000000,276.0000000000,3374.0000000000,2660.0000000000,1766.0000000000,3418.0000000000,2596.0000000000,200.0000000000,,,
Mada196,2114.0000000000,2278.0000000000,2276.0000000000,2079.0000000000,2067.0000000000,2266.0000000000,2311.0000000000,198.0000000000,2311.0000000000,1357.0000000000,2025.0000000000,2333.0000000000,3006.0000000000,1363.0000000000,2042.0000000000,3035.0000000000,1307.0000000000,2251.0000000000,2342.0000000000,,
Se1,202.0000000000,1631.0000000000,1608.0000000000,169.0000000000,160.0000000000,1611.0000000000,1637.0000000000,1974.0000000000,1646.0000000000,2266.0000000000,181.0000000000,1663.0000000000,2898.0000000000,2223.0000000000,182.0000000000,2932.0000000000,2177.0000000000,1594.0000000000,1673.0000000000,1944.0000000000,
